#OTU ID	magic.0018.S106.001.fa	magic.0532.S92.001.fa	magic.0322.S65.001.fa	magic.0417.S90.001.fa	magic.0531.S80.001.fa	magic.0124.S61.001.fa	magic.0551.S105.001.fa	magic.0078.S72.001.fa	magic.0231.S63.001.fa	magic.0268.S40.001.fa	magic.0331.S77.001.fa	magic.0011.S46.001.fa	magic.0020.S23.001.fa	magic.0300.S100.001.fa	magic.0021.S35.001.fa	magic.0542.S57.001.fa	magic.0004.S34.001.fa	magic.0075.S60.001.fa	magic.0526.S56.001.fa	magic.0337.S113.001.fa	magic.0471.S103.001.fa	magic.0317.S53.001.fa	magic.0465.S91.001.fa	magic.0040.S71.001.fa	magic.0134.S97.001.fa	magic.0132.S85.001.fa	magic.0148.S26.001.fa	magic.0539.S33.001.fa	magic.0246.S28.001.fa	magic.0307.S112.001.fa	magic.0156.S62.001.fa	magic.0013.S58.001.fa	magic.0131.S73.001.fa	magic.0339.S30.001.fa	magic.0435.S43.001.fa	magic.0242.S87.001.fa	magic.0315.S29.001.fa	magic.0334.S89.001.fa	magic.0290.S88.001.fa	magic.0456.S79.001.fa	magic.0272.S52.001.fa	magic.0402.S78.001.fa	magic.0050.S95.001.fa	magic.0552.S117.001.fa	magic.0367.S42.001.fa	magic.0473.S115.001.fa	magic.0059.S36.001.fa	magic.0015.S70.001.fa	magic.0173.S98.001.fa	magic.0232.S75.001.fa	magic.0543.S69.001.fa	magic.0374.S54.001.fa	magic.0549.S93.001.fa	magic.0547.S81.001.fa	magic.0030.S59.001.fa	magic.0179.S110.001.fa	magic.0100.S96.001.fa	magic.0016.S82.001.fa	magic.0440.S55.001.fa	magic.0244.S111.001.fa	magic.0541.S45.001.fa	magic.0514.S44.001.fa	magic.0001.S22.001.fa	magic.0537.S104.001.fa	magic.0527.S68.001.fa	magic.0287.S76.001.fa	magic.0538.S116.001.fa	magic.0112.S49.001.fa	magic.0109.S25.001.fa	magic.0017.S94.001.fa	magic.0243.S99.001.fa	magic.0316.S41.001.fa	magic.0150.S50.001.fa	magic.0433.S31.001.fa	magic.0053.S24.001.fa	magic.0189.S39.001.fa	magic.0110.S37.001.fa	magic.0079.S84.001.fa	magic.0146.S109.001.fa	magic.0028.S47.001.fa	magic.0428.S102.001.fa	magic.0063.S48.001.fa	magic.0217.S51.001.fa	magic.0335.S101.001.fa	magic.0278.S64.001.fa	magic.0396.S66.001.fa	magic.0048.S83.001.fa	magic.0149.S38.001.fa	magic.0170.S86.001.fa	magic.0164.S74.001.fa	magic.0429.S114.001.fa	magic.0185.S27.001.fa	magic.0484.S32.001.fa	Blank.S67.001.fa	magic.0101.S108.001.fa	Postive.Control.S107.001.fa
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_sp002965065	1971	0	0	1	12	146	1152	1729	1292	12	1	5	15	29	145	1	948	1	2	0	53	6	9	2	1290	1125	10	27	2	22	1	0	1492	4	326	0	0	78	1	0	0	201	2	18	0	0	1	774	768	453	43	5	4	6	149	0	4213	850	0	1451	251	30	1016	41	409	4	29	108	1	1673	132	55	1453	1	2	36	4	47	2	34	137	64	2	40	95	10	1670	6	141	4	117	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B_villorum	47	1	0	0	22	0	3	32	2	0	0	0	167	0	0	3	2	0	0	1	0	0	0	1	0	27	0	24	0	0	0	6	0	17	6	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	7	0	0	4	3	0	1	0	0	0	3	0	3	77	1	0	3	0	128	0	20	0	0	0	2	0	0	2	0	20	0	0	24	0	2	8	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_vulgatus	84	33366	12	622	66129	77994	84	7	38	122	254	2597	1471	85	25922	85	592	5432	43210	1503	20813	205	9898	9	71	156	14134	319	11949	614	105	5798	212	94311	61818	9477	8436	1075	40	12	5072	672	1086	2618	4110	3790	17093	17	20	2762	6688	43158	742	420	50049	3	135676	359	81	3174	2711	6117	1022	138652	260	20610	966	31	29	4636	363	36	25	41	8825	968	6231	25309	571	5256	11	42780	15	10	4598	33	14	97	258	119	61	2	5	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sp000479315	3	1	1	0	0	0	0	0	0	0	8	0	14	1	0	10	1	0	0	17	0	1	3	4	0	7	1	8	0	0	1	14	0	0	1	3	0	0	20	0	0	0	1	1	0	1	3	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	3	1	0	1	5	2	0	0	3	2	0	1	0	2	0	1	2	0	8	0	0	1	1	1	1	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_sp001660175	458	0	0	1	4	107	252	355	292	0	0	1	6	22	44	1	347	2	0	0	7	0	0	0	249	381	10	21	0	2	0	0	419	0	31	0	0	11	2	0	0	34	1	0	0	0	0	154	344	61	13	1	6	3	65	0	376	327	0	50	16	8	369	25	85	3	4	23	0	65	25	5	383	0	0	8	3	20	0	14	44	20	0	42	14	6	362	0	18	1	36	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_parasanguinis_C	84	1	4	2	6	3	9	8	9	0	476	2	216	19	1	260	72	8	2	126	0	1	172	9	23	25	24	197	0	4	33	182	0	0	19	6	0	4	762	3	0	15	5	0	1	4	26	0	3	1	0	1	21	0	37	754	0	61	6	6	0	7	4	12	17	26	22	6	18	154	13	7	1	83	73	2	73	14	276	5	35	5	5	62	0	0	77	72	3	3	4	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium_gallinarum	23	0	0	0	0	0	0	15	2	0	2	0	65	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	28	0	0	6	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_sp004211955	1467	1	0	2	43	148	1010	1289	981	8	8	3	18	33	565	2	2369	8	0	0	42	2	0	3	898	2699	15	13	0	7	0	0	1181	5	35	0	0	113	0	0	1	97	2	23	0	0	3	289	1119	30	13	7	12	2	141	0	1702	2061	1	229	8	19	2502	66	290	4	1	173	1	34	92	34	1181	0	0	27	10	111	0	86	289	261	0	57	97	0	1117	6	10	3	104	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_sp000208585	823	1	1	0	24	59	1109	739	584	12	2	2	15	16	188	0	1017	4	0	0	47	13	1	1	779	1884	8	4	1	4	60	0	1221	4	15	1	0	75	2	3	0	84	1	9	0	0	1	129	1374	21	9	5	4	7	81	3	753	883	0	234	3	12	1075	42	182	0	1	99	1	26	75	20	1061	8	2	23	4	58	0	31	99	95	0	92	76	0	686	62	3	1	58	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_albertii	773	0	0	1	1	48	411	696	547	1	1	4	5	9	23	0	275	0	0	0	12	0	1	0	683	350	4	6	0	6	0	1	596	0	63	0	0	13	0	0	0	59	0	5	0	0	0	675	531	99	30	0	14	5	49	1	346	248	0	44	33	9	249	7	171	2	16	20	1	163	41	15	580	2	0	6	1	13	0	20	31	8	0	0	19	1	619	1	34	1	36	0	0	0	0	0
