#OTU ID	magic.0018.S106.001.fa	magic.0532.S92.001.fa	magic.0322.S65.001.fa	magic.0417.S90.001.fa	magic.0531.S80.001.fa	magic.0124.S61.001.fa	magic.0551.S105.001.fa	magic.0078.S72.001.fa	magic.0231.S63.001.fa	magic.0268.S40.001.fa	magic.0331.S77.001.fa	magic.0011.S46.001.fa	magic.0020.S23.001.fa	magic.0300.S100.001.fa	magic.0021.S35.001.fa	magic.0542.S57.001.fa	magic.0004.S34.001.fa	magic.0075.S60.001.fa	magic.0526.S56.001.fa	magic.0337.S113.001.fa	magic.0471.S103.001.fa	magic.0317.S53.001.fa	magic.0465.S91.001.fa	magic.0040.S71.001.fa	magic.0134.S97.001.fa	magic.0132.S85.001.fa	magic.0148.S26.001.fa	magic.0539.S33.001.fa	magic.0246.S28.001.fa	magic.0307.S112.001.fa	magic.0156.S62.001.fa	magic.0013.S58.001.fa	magic.0131.S73.001.fa	magic.0339.S30.001.fa	magic.0435.S43.001.fa	magic.0242.S87.001.fa	magic.0315.S29.001.fa	magic.0334.S89.001.fa	magic.0290.S88.001.fa	magic.0456.S79.001.fa	magic.0272.S52.001.fa	magic.0402.S78.001.fa	magic.0050.S95.001.fa	magic.0552.S117.001.fa	magic.0367.S42.001.fa	magic.0473.S115.001.fa	magic.0059.S36.001.fa	magic.0015.S70.001.fa	magic.0173.S98.001.fa	magic.0232.S75.001.fa	magic.0543.S69.001.fa	magic.0374.S54.001.fa	magic.0549.S93.001.fa	magic.0547.S81.001.fa	magic.0030.S59.001.fa	magic.0179.S110.001.fa	magic.0100.S96.001.fa	magic.0016.S82.001.fa	magic.0440.S55.001.fa	magic.0244.S111.001.fa	magic.0541.S45.001.fa	magic.0514.S44.001.fa	magic.0001.S22.001.fa	magic.0537.S104.001.fa	magic.0527.S68.001.fa	magic.0287.S76.001.fa	magic.0538.S116.001.fa	magic.0112.S49.001.fa	magic.0109.S25.001.fa	magic.0017.S94.001.fa	magic.0243.S99.001.fa	magic.0316.S41.001.fa	magic.0150.S50.001.fa	magic.0433.S31.001.fa	magic.0053.S24.001.fa	magic.0189.S39.001.fa	magic.0110.S37.001.fa	magic.0079.S84.001.fa	magic.0146.S109.001.fa	magic.0028.S47.001.fa	magic.0428.S102.001.fa	magic.0063.S48.001.fa	magic.0217.S51.001.fa	magic.0335.S101.001.fa	magic.0278.S64.001.fa	magic.0396.S66.001.fa	magic.0048.S83.001.fa	magic.0149.S38.001.fa	magic.0170.S86.001.fa	magic.0164.S74.001.fa	magic.0429.S114.001.fa	magic.0185.S27.001.fa	magic.0484.S32.001.fa	Blank.S67.001.fa	magic.0101.S108.001.fa	Postive.Control.S107.001.fa
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sp000187445	14	101	25	11	14	8	3	3	4	0	347	19	484	37	19	501	15	5	9	2537	4	95	6457	434	32325	565	0	123	5	6	130	1602	8	1	41	5391	1	24	1303	86	2	1	75	8	42	91	19	2	23	34	1	1	9	1	131	285	6	4	110	5	0	16	0	12	3	12217	25	32	5	93	21	4	2	9	24	23	41	19	9	25	3	123	21	76	1	1	48	7	59	849	2	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C_massiliensis	18	0	0	0	0	0	0	26	1	0	1	0	131	0	0	0	1	0	1	0	0	1	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	1	0	4	0	0	0	0	0	1	2	14	0	1	0	0	0	0	0	0	0	1	0	48	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	24	1	4	9	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_sp004795055	5	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	28	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	34	0	1	0	0	35	3	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter_sp900557055	3	4	0	1	227	23	0	0	0	0	6	8	14	3	180	1	0	13	21	0	46	1	8	0	3	1	13	1	18	2	0	1	1	191	22	3	4	0	3	0	32	1	11	155	2	3	33	2	1	1	17	95	9	0	36	0	14	0	1	52	3	13	0	13	356	14	3	2	0	0	121	122	0	0	9	25	6	51	0	18	0	212	0	339	8	5	0	0	0	11	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter_B;s__Enterobacter_B_lignolyticus	13	0	0	0	0	0	10	7	5	0	2	0	0	0	9	2	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	16	0	0	2	0	0	15	0	2	9	0	0	0	0	0	2	0	2	0	0	0	0	0	1	2	0	1	0	0	0	0	46	0	1	3	0	62	0	2	9	0	0	1	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kluyvera;s__Kluyvera_ascorbata_B	12	3	0	0	7	0	1	3	4	0	1	0	2	0	44	57	0	0	3	0	0	25	63	0	35	0	0	0	1	0	25	0	0	3	0	0	0	1	0	26	0	0	0	2	0	0	0	2	0	0	0	0	8	455	1	59	0	0	15	0	0	0	0	15	2	9	0	0	4	1	9	36	0	4	0	1	0	0	10	3	141	14	1	4	0	11	5	21	0	3	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mitis_O	12	0	0	2	0	0	3	0	2	0	14	0	10	4	2	1	2	0	1	5	1	10	2	3	19	13	0	12	0	0	0	17	2	0	73	0	0	2	65	0	0	0	2	1	1	0	0	0	0	2	2	0	1	0	1	0	17	0	3	3	8	1	0	1	17	11	9	0	4	16	2	0	2	0	0	0	0	1	3	0	9	1	0	0	0	5	2	0	0	1	1	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Dickeya;s__Dickeya_zeae_A	34	0	0	0	0	6	35	36	21	0	72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	0	0	0	0	0	0	0	0	7	0	0	0	0	0	6	63	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	91	0	0	0	0	0	31	0	0	0	5	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_breve	29	17269	3411	3924	17128	246	49	7	36	890	426	13155	78	708	3	249	9	1210	11671	5	1161	456	220	10	754	352	2386	10604	47733	1494	51	21	55	26031	1951	216	28	2168	1880	81721	731	2252	28442	25251	19	171	1456	2832	36	1250	63406	51300	18064	181	950	126	18	6	628	187470	141914	7508	24	891	208	781	38528	770	2648	93	10	76770	46	472	1267	21349	1364	85188	69	2253	58	8	155797	9	583	133694	20	75	377	53	109890	0	2	4	5	8
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter_sp001428005	57	0	0	0	1	1	9	0	4	0	254	1	1	0	0	1	0	0	0	0	2	7	5	2	4	0	0	0	0	0	1	1	55	0	3	0	4	0	1	1	0	1	0	0	0	0	0	41	117	1	0	0	3	4	41	1	1	0	50	0	0	16	0	0	1	10	44	1	3	0	0	0	4	1	0	0	1	6	0	30	1	1	1	1	0	0	13	0	1	1	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	35	347	8	12	569	128	21	6	17	13	148	174	44	89	1485	16	126	84	331	388	94	19	99	5	800	205	89	258	4599	36783	59	309	13	1210	46107	83	756	137	746	8	34447	112333	7275	3484	956	14	15	15	10	61501	41	678	6018	59	585	7	31	71	6	13	1987	870	254	38559	16	99	82	12021	6	175	185568	40	2	22	10	2214	28	20	106280	1758	17	1772	11	2	57	5	1	22	51383	47	4	0	0	0	0	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pseudopneumoniae_C	12	0	0	2	0	0	1	0	3	0	4	1	1	4	0	5	1	1	0	2	0	3	5	1	6	25	0	5	0	0	0	30	3	0	10	0	0	0	43	2	0	1	2	1	0	4	0	0	0	2	1	0	1	2	8	2	14	0	0	4	0	0	0	0	3	1	4	1	2	3	1	0	2	0	0	0	1	1	6	0	8	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter_sp900540355	10	0	0	0	0	0	0	19	0	0	0	0	731	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	9	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium_sp003837805	18	0	0	0	0	0	12	9	11	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	3	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium_kroppenstedtii_A	60	0	0	0	0	0	0	11	48	0	0	0	0	0	0	0	0	4	0	0	0	0	1	140	1115	67	0	0	0	0	0	0	0	0	0	29	0	0	43	0	0	0	0	0	0	1	26	0	0	0	0	0	0	1	4	0	0	1	6	0	2	0	0	0	4	0	0	0	1	26	0	3	0	0	72	2	53	0	26	3	0	1	0	0	2	0	13	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sartorii	1	487	3	31	2026	771	3	0	0	15	0	123	306	3	10458	1	1558	1820	948	185	288	2	443	2	13	4	142	51	231	38	9	893	1	4832	480	343	1055	28	3	0	173	815	188	264	869	29	545	0	0	52	109	1826	85	3	701	0	2621	939	0	109	233	266	3181	2194	4	466	12	9	1	435	1685	4	0	1	478	31	791	378	505	322	0	10598	1	1	82	2	1	2	9	1	7	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter_cibarius	20	0	0	0	0	0	0	0	0	0	47	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	22	0	0	0	0	1	0	1	0	0	7	0	0	2	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus_sp001955535	3	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	7	17	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sp000411475	10	0	1	0	0	3	0	0	9	0	15	0	39	2	0	14	1	0	1	31	0	4	3	3	20	5	0	27	1	0	7	7	0	0	0	0	0	2	11	1	1	0	11	2	0	1	8	0	0	2	0	0	0	0	73	14	0	1	1	1	3	0	0	0	1	0	1	3	0	2	1	0	4	0	4	0	1	12	6	0	6	0	2	5	0	7	9	2	2	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Crocosphaera;s__Crocosphaera_chwakensis	13	0	0	0	0	0	1	0	0	0	63	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	10	0	0	0	2	0	0	0	0	1	1	0	1	0	0	7	19	0	0	0	0	0	4	1	0	0	8	0	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	2	1	6	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger_qucibialis	15	0	0	1	34	0	1	0	10	5	35	0	25	6	0	1	0	16	0	0	0	7	0	2	3	12	0	4	1	41	6	1	0	74	7	8	3	10	13	0	121951	3	0	190	0	0	19	3	0	8	7	62	25	1	55	1	0	0	0	111	2	89	0	1	389	5	2	3	0	0	142	212	2	1	1	2798	6	8	18	38	0	687	15	171	13	1	0	28	0	1	1	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cloacae_M	51	21	1	3	927	0	751	58	76	0	291	0	964	0	271	771	7	6	16	19	6	1153	298	258	208	44	2	3	74	6	5197	3	4	28	2	3	0	35	13	35337	0	47	4	48	25	34	0	4	584	9	3	64	22	12306	37	207	7	5	29	1	6	55	6	341	38	143	1	3	242	25	148	41	0	1008	5	34	1	0	99072	48	2666	162	134	294	1	1045	36	3936	3	261	0	0	0	1	0	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D_sp002850555	7	50	0	1	14	0	1	1	1	2	61	0	19	0	0	0	1	0	6	10	472	0	0	1	20	3	0	0	0	0	1	2	0	0	0	0	0	21	13	0	0	1	1	0	0	0	0	0	0	0	0	1	1068	1	3	0	0	0	0	0	0	7	0	0	1	5	0	0	0	0	1	0	1	0	0	1	0	0	1	5	0	10	1	3294	125	0	1	0	0	1	0	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium_sp001426995	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pneumoniae_D	11	0	0	2	0	0	1	0	2	2	8	2	13	2	0	10	1	0	0	7	0	5	8	0	5	11	0	12	0	0	0	41	0	0	4	0	0	0	29	3	0	1	3	0	2	0	0	0	0	1	1	0	1	1	5	0	7	0	3	1	0	1	0	0	0	1	1	0	5	4	1	0	2	0	0	0	0	0	7	0	8	0	0	2	1	1	3	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_paraputrificum	20	885	1	4	56	1	1985	2	106	0	11	66	165	6	18	30	16	0	2175	0	1	41785	6	15	27	52	2	4	197	1	35	5	80370	1914	8	4	1	49	16	0	0	2	6	64	7	1	0	21660	0	3	59	1000	409	9	768	936	32	4	18	0	8	313	39	109	14	9	37	8	7	46	0	391	13193	0	29	89	45	5	8	576	26777	3	7	2	1	15	1	33	3	8	1	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_bifidum	12	22037	849	1028	296	42	349	0	122	140122	669	628	21	160586	5	214	6	314	11150	19	95415	245	482	0	620	415	599	2285	80259	61	147	21	31	252	423	274	75	202717	382	640	145	208	386	172	21	243120	409	21	25	311	81837	511	79387	483	740	6	9	9	211021	708	501	9191	6	164461	188	434	109623	176	58	14	16	240	43	176306	430	7871	427	466	31	5260	58	1	909	26	134208	642	7	124	112	68	489	1	1	2	1	3
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Negativicoccaceae;g__Negativicoccus;s__Negativicoccus_succinicivorans	9	2	0	5	1	0	3	5	0	0	34	0	25	6	1	87	53	0	6	22	0	8	12	0	1220	22	1	0	1	0	8	107	0	0	3	1	0	0	6	10	0	0	6	0	5	7	4	35	0	2	0	2	1	0	15	7	1	25	1	0	0	5	30	7	3	0	2	0	0	10	0	10	0	0	0	2	0	0	15	5	8	1	9	4	0	20	3	0	1	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_oralis_BC	15	0	0	0	0	0	0	0	0	0	26	0	2	0	0	5	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	5	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	5	0	0	0	3	0	0	2	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D_casseliflavus	6	185	0	0	31	0	2	4	11	2	25	0	28	0	0	2	0	0	16	0	1603	8	4	0	9	1	0	0	0	2	0	0	0	0	0	2	0	45	13	0	0	1	1	0	0	0	0	4	0	2	0	2	3666	3	1	0	0	1	0	0	4	7	0	1	26	5	0	0	0	0	1	0	0	0	0	3	0	0	1	3	4	0	0	1234	444	1	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_urinalis	2	0	0	0	0	0	0	0	0	0	56	0	2	0	0	19	0	0	0	3	0	3	0	43	2	9	0	1	0	0	3	2	0	0	3	0	0	1	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	13	0	6	1	0	0	2	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella_haemolysans_B	30	0	0	1	1	0	0	0	0	2	2	3	0	4	3	234	5	0	0	7	0	5	3	69	47	1259	0	3	2	1	50	179	11	0	1	1	0	2	74	20	0	0	94	1	1	0	6	0	0	2	0	0	0	0	24	74	0	6	1	2	0	1	0	0	0	1	0	0	1	0	2	0	1	1	4	3	2	4	1	2	0	2	1	3	0	0	4	2	1	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mitis_N	7	0	0	3	1	0	0	1	4	0	8	0	9	2	0	7	0	0	1	5	0	8	35	3	14	19	0	8	1	0	0	68	7	0	8	3	1	1	55	4	0	0	3	1	1	0	0	1	1	0	2	0	0	1	9	1	27	2	4	0	1	5	0	1	2	5	2	0	2	9	2	0	8	2	0	0	0	4	8	0	10	0	2	0	0	0	4	0	1	1	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Metasolibacillus;s__Metasolibacillus_sp002360295	13	0	0	0	1	0	1	17	2	0	0	0	0	0	8	0	91	0	0	0	0	0	0	0	1	32	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	14	96	0	6	0	0	80	0	3	0	0	2	0	0	0	0	3	0	0	1	0	3	0	1	12	7	0	0	1	0	14	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_E;s__Paenibacillus_E_sp001428045	16	0	0	0	0	0	5	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	7	0	1	0	1	0	0	0	0	0	0	0	0	0	0	6	17	0	0	0	0	0	3	0	0	0	20	0	0	4	0	0	0	0	15	0	0	1	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_saprophyticus_A	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	5	0	7	60	1	0	0	0	0	0	45	0	0	0	0	0	0	6	5	0	0	0	0	1	0	2	1	4	0	0	0	0	3	4	0	1	1	0	0	0	32	0	0	0	0	0	1	6	1	0	0	0	0	1	13	0	0	1	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mitis_BB	5	1	0	0	1	0	2	0	1	0	9	0	17	9	0	1	1	0	0	5	0	5	3	2	7	11	0	19	0	1	0	11	1	0	5	1	0	1	56	0	2	0	1	0	0	1	0	0	1	0	0	0	1	2	0	0	9	0	2	3	3	2	0	0	8	2	3	0	1	15	1	0	2	0	0	0	0	1	5	0	2	1	1	1	0	3	2	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp900554435	3	574	0	4	701	1438	9	2	0	16	4	151	32	9	964	2	1	121	878	2	358	1	436	0	107	1	453	91	278	88	1	91	11	867	765	316	27	25	3	0	124	14	111	228	8	95	505	21	0	66	102	444	102	4	1075	2	1111	0	3	176	200	124	1	961	1506	2174	16	21	1	362	186	203	0	1	232	39	126	809	25	101	0	1336	18	58	68	26	1	1	6	11	1	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_suis_F	1	0	0	0	2	0	2	0	0	0	0	0	0	1	0	307	0	0	0	0	0	0	1	3	0	18	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	3	0	0	2	0	3	0	1	0	627	0	0	0	0	0	0	0	7	0	0	4	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella_massiliensis	6	5	0	0	126	0	25	7	27	3	5	2	30	1	0	8	0	5	13	1	0	30	0	0	15	9	0	18	27	45	3	0	1	78	58	0	4	2	4	2	120	2	4	1759	4	0	0	14	4	4	1	174	59	2	19	3	0	0	8	163	5	958	1	1	191	2	3	10	1	14	266	25211	0	3	0	3286	2	129	64	39	0	169	1	200	4	6	2	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio_sp004551525	24	0	0	0	0	0	3	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	21	0	0	0	0	1	2	0	1	0	4	0	0	4	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	7	5	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__GCF-000787395;s__GCF-000787395_sp002021095	38	0	0	0	1	1	2	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	2	0	0	0	0	0	1	0	0	1	0	0	4	27	1	0	0	0	0	0	3	1	0	22	0	0	7	0	0	0	2	32	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Motilimonas;s__Motilimonas_sp003596335	28	0	0	0	0	0	0	0	0	0	37	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	0	1	0	2	0	0	1	0	0	0	0	1	0	0	2	25	0	0	0	0	3	2	0	0	0	5	1	0	3	0	0	0	2	9	0	1	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_parasanguinis_D	152	4	1	8	16	5	11	14	24	0	859	13	462	35	16	679	130	19	6	224	9	12	303	37	69	66	33	327	0	6	61	287	1	1	66	9	0	12	1307	4	0	19	18	3	3	3	65	0	2	4	4	2	28	2	79	1475	3	321	11	15	5	6	7	66	25	59	54	2	44	252	46	11	1	143	123	4	168	25	506	20	62	230	2	98	0	1	154	167	6	12	5	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__MM2;s__MM2_sp001645185	16	0	0	0	0	0	9	10	10	0	0	0	0	0	11	0	28	0	0	0	0	0	0	0	8	25	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	12	17	0	6	0	1	20	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	3	3	0	0	1	0	8	0	0	1	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_dispar	2	117	0	4	116	0	1	0	15	0	2528	18	319	350	32	3960	0	2	76	812	3	357	272	0	2601	8	0	48	0	2	115	25	6	0	2	30	0	4	48	1	7	1	283	4	19	46	89	0	0	80	10	1	51	10	5	52	19	12	41	24	61	136	0	277	188	0	88	19	33	1484	0	54	9	0	20	13	8	0	14	7	27	32	215	7	10	0	1	15	46	0	202	0	0	0	0	0
