#OTU ID	magic.0604.PE.S33.001.fa	magic.0604.MagAE.S59.001.fa	magic.0258.MagAE.S54.001.fa	magic.1457.PPE.S17.001.fa	magic.0238.PE.S28.001.fa	magic.0604.PPE.S12.001.fa	magic.0524.PPE.S11.001.fa	magic.0348.MagAE.S55.001.fa	magic.0978.PPE.S13.001.fa	magic.1489.PPE.S18.001.fa	magic.1232.MagAE.S65.001.fa	magic.0378.PPE.S6.001.fa	magic.1232.PE.S36.001.fa	magic.1488.MagAE.S71.001.fa	magic.0298.MagAE.S51.001.fa	magic.1457.MagAE.S70.001.fa	magic.2174.PE.S45.001.fa	magic.1269.MagAE.S69.001.fa	magic.1412.MagAE.S72.001.fa	magic.0142.PPE.S4.001.fa	magic.0238.PPE.S5.001.fa	magic.0978.PE.S34.001.fa	magic.0238.MagAE.S50.001.fa	magic.0481.PPE.S8.001.fa	magic.1757.PPE.S22.001.fa	magic.0821.MagAE.S63.001.fa	magic.1757.PE.S43.001.fa	magic.0485.MagAE.S61.001.fa	magic.0990.PPE.S14.001.fa	magic.1455.PPE.S16.001.fa	magic.0990.MagAE.S68.001.fa	magic.0485.PPE.S9.001.fa	magic.1489.MagAE.S67.001.fa	magic.0990.PE.S35.001.fa	magic.1761.MagAE.S76.001.fa	magic.1947.PE.S44.001.fa	magic.1412.PPE.S20.001.fa	magic.1455.MagAE.S66.001.fa	magic.1489.PE.S39.001.fa	magic.1761.PE.S42.001.fa	magic.2174.MagAE.S74.001.fa	magic.1761.PPE.S21.001.fa	magic.1488.PPE.S19.001.fa	magic.0140.MagAE.S49.001.fa	magic.0140.PPE.S3.001.fa	magic.0142.MagAE.S53.001.fa	magic.0978.MagAE.S64.001.fa	magic.0493.MagAE.S60.001.fa	magic.0096.MagAE.S52.001.fa	magic.0481.MagAE.S57.001.fa	magic.0096.PPE.S2.001.fa	magic.0096.PE.S26.001.fa	magic.0485.PE.S31.001.fa	magic.1269.PPE.S15.001.fa	magic.0524.MagAE.S62.001.fa	magic.0487.PPE.S10.001.fa	magic.0487.PE.S32.001.fa	magic.0378.MagAE.S56.001.fa	magic.1947.PPE.S23.001.fa	magic.1412.PE.S41.001.fa	magic.1455.PE.S38.001.fa	magic.2174.PPE.S24.001.fa	magic.0487.MagAE.S58.001.fa	magic.2704.MagAE.S78.001.fa	magic.0140.PE.S27.001.fa	magic.0068.MagAE.S48.001.fa	magic.1757.MagAE.S73.001.fa	magic.0068.PE.S25.001.fa	magic.1947.MagAE.S77.001.fa	magic.0493.PPE.S7.001.fa	magic.0493.PE.S30.001.fa	magic.1488.PE.S40.001.fa	magic.0378.PE.S29.001.fa	Blank.MagAE.S75.001.fa	magic.2704.PE.S46.001.fa	BLANK.PPE.S1.001.fa	magic.1269.PE.S37.001.fa	Blank.PE.S47.001.fa
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia_sp002933955	12	11	0	1	15	6	0	16	1	186	53	24	87	0	0	1	1	2	0	0	16	2	25	0	0	12	1	0	16	134	21	0	508	22	4	0	0	133	450	11	0	4	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	23	0	0	224	0	0	4	0	0	0	18	0	0	1	1	1	3	0	0	2	0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp900557505	4	2	0	0	1	5	0	0	2	17	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	52	0	0	0	0	2	0	37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Izhakiella;s__Izhakiella_australiensis	7	9	0	0	0	28	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	184	0	110	283	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	6	5	0	0	25	7	0	87	0	122	6	28	10	0	1	0	16	0	0	0	17	5	24	0	0	4	1	0	5	97	7	0	268	4	1	0	0	85	255	3	8	0	0	0	0	4	0	0	0	1	0	0	4	0	0	0	3	44	0	0	167	26	1	1	0	0	1	10	0	0	0	0	12	1	7	0	3	0
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas_sp900554895	20	18	0	0	9	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cancerogenus	11	16	0	0	0	43	0	2	0	138	0	92	0	0	0	0	169	3	0	0	0	1	0	2	0	1	0	0	0	31	0	0	36	0	5	0	0	51	44	3	273	3	0	0	0	0	0	258	11	23	21	10	1	0	0	0	0	66	0	0	17	247	0	4	0	0	5	3	0	241	87	0	12	1	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Cellulosilyticum;s__Cellulosilyticum_sp900556665	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	60	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax_profundi	19	13	0	0	0	14	0	13	0	4	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900551275	1	1	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__UMGS1494;s__UMGS1494_sp900552305	26	14	2	0	5	14	0	0	0	0	5	13	2	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	13	0	0	4	0	0	0	0	17	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	6	0	0	22	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__Hymenobacter_amundsenii	7	7	0	0	0	19	0	0	0	0	0	20	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	43	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	7	0	0	1	35	0	0	0	0	1	0	0	8	1	0	1	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp900544675	16	22	4	0	2	19	0	0	1	0	81	0	121	0	0	0	89	0	0	0	0	0	0	0	0	0	2	0	0	14	0	0	3	0	0	0	0	11	2	0	24	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	1	0	0	22	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp900549175	21	7	0	0	0	12	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum_sp001689565	3	6	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Colwellia;s__Colwellia_echini	2	0	284	2	0	1	3	2	232	1	5	13	2	243	39	12	58	59	0	22	0	104	0	26	81	177	31	6	4	0	1	6	7	2	0	5	1	2	10	0	96	0	86	85	6	124	14	114	1	41	0	4	13	116	19	1	6	10	1	0	1	104	19	25	59	17	12	24	0	42	22	8	1	0	0	0	3	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485_sp001701295	49	39	2	0	8	32	0	0	0	5	3	6	2	0	0	0	43	1	0	0	10	0	6	0	0	0	1	0	0	40	0	0	8	0	1	0	0	41	9	1	59	0	0	0	0	0	0	25	0	3	0	0	2	0	0	0	0	13	0	0	33	67	0	5	0	0	0	1	0	12	1	0	4	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella_viscericola	72	38	2	0	56	50	0	479	0	65	6	67	15	0	0	0	1	1	0	1	27	5	48	0	0	4	1	0	1	115	2	0	238	1	2	1	0	81	207	18	0	9	0	0	0	2	0	4	0	2	0	0	0	0	0	0	1	69	0	0	157	0	0	3	0	0	2	14	0	0	0	0	5	0	7	0	0	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia_oryziphila	25	30	0	0	0	88	0	0	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	2	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	18	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485_sp002361215	52	43	1	0	0	31	0	0	0	22	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	29	0	0	0	1	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A_sp900549685	15	11	4	0	1	9	0	0	0	1	4	18	10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	80	0	0	9	0	0	0	0	95	3	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	22	0	0	105	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	1	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae	2	1	17	1	2169	6	2	621	1	1309	1	201	2	4	15	3	3764	57	2	1	5585	15	3773	28	3	13	3798	9	1	5	3	2	698	1	240	2712	0	6	520	282	9115	143	1	5	1	216	1	1380	529	702	400	690	13	2	3	0	3	104	548	1	0	6336	2	93	3	2	131	9	629	628	174	1	21	5	27	7	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A_oxytoca_B	3	1	5	0	18	9	2	4	2	612	1	327	0	0	2	9	795	11	0	5	29	10	27	4	2	8	1362	1	10	2	0	3	309	9	609	1282	2	4	321	498	1776	247	1	3	2	18	7	2129	21260	114	14833	28669	2	1	2	3	3	224	225	0	3	1270	13	8	5	23	123	31	356	1436	299	4	34	4	16	6	1	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__Pararheinheimera_sp000217935	8	7	0	0	0	33	0	1	0	0	0	83	0	0	1	0	287	2	1	0	0	5	0	0	0	3	0	0	0	12	0	0	0	0	0	0	0	11	0	0	457	1	0	0	0	0	1	387	0	19	0	0	0	0	0	0	0	63	0	0	6	412	0	0	0	0	6	2	0	173	46	0	13	0	0	1	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella_sp002251365	4	3	0	0	0	3	0	0	0	2	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	18	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	48	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS263;s__UMGS263_sp900540535	10	1	0	0	55	6	0	0	0	3	20	5	31	0	0	0	0	0	0	0	46	0	41	0	0	0	0	78	0	2	0	84	2	0	0	0	0	0	2	0	0	0	0	0	0	20	0	0	0	0	0	0	51	0	0	0	72	4	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__MM2;s__MM2_sp001645185	4	2	0	0	1	5	0	16	0	15	0	52	0	1	0	1	344	2	0	0	2	0	1	0	0	0	0	0	6	4	43	0	8	3	6	0	0	20	15	3	333	3	0	0	0	0	0	321	0	51	0	0	0	0	0	0	0	41	0	0	4	392	0	1	0	2	2	5	0	121	20	0	8	1	33	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_K;g__Bacillus_T;s__Bacillus_T_coahuilensis	4	7	1	0	0	11	0	6	0	19	0	134	0	1	1	0	379	5	1	0	2	5	0	0	0	0	0	0	0	11	1	0	11	0	0	0	0	19	9	0	401	0	0	0	0	0	0	461	0	57	0	0	2	0	0	0	0	111	0	0	15	451	0	0	0	0	7	1	0	126	40	0	23	3	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces_sp004795055	7	3	0	0	0	11	1	1	0	0	0	46	0	0	0	0	48	2	0	0	0	0	1	0	0	0	0	0	0	16	1	0	0	0	2	0	0	18	1	2	122	1	1	0	0	0	0	98	0	4	0	0	0	0	1	0	0	20	0	0	12	100	2	0	0	0	1	4	0	39	14	0	6	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp900550835	1	1	0	0	0	2	0	1	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	17	0	77	0	0	2	4	0	0	32	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	1	0	0	1	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS2037;s__UMGS2037_sp900557385	11	9	1	0	2	9	0	0	0	2	9	73	11	1	1	0	0	5	0	0	2	5	0	0	0	0	2	0	16	210	5	0	11	15	122	0	0	236	9	271	0	97	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	57	0	0	289	0	1	2	0	0	10	6	0	0	0	0	12	0	0	0	1	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mitis_BF	13	16	0	35	0	50	16	0	1	0	13	0	7	17	1	220	0	43	0	0	0	1	0	0	5	353	0	20	10	9	14	24	0	1	0	3	0	7	0	1	0	0	44	1	0	0	0	57	0	0	0	0	13	10	5	23	6	0	6	0	0	0	16	7	0	40	0	7	4	52	1	0	0	1	1	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-611;s__CAG-611_sp900552235	1	0	0	0	0	0	0	0	0	0	5	6	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	82	0	0	0	1	25	0	0	36	0	37	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	75	0	1	0	0	0	1	5	0	0	0	0	6	0	0	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia_mucilaginosa	2	1	2	0	0	7	0	0	0	0	5	20	3	1	1	0	0	0	0	0	0	0	0	5	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	239	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	38	0	0	2	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485_sp002493045	2	2	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_parasanguinis_D	2	19	27	40	1	8	15626	1	5	74	36	27	2	24	1	77	1	537	0	18	32	0	2	13	28	798	18	497	88	12	14	421	74	13	1	37	0	38	3	14	6	3	31	486	5153	7	16	30	0	13	58	9	313	143	7585	96160	242	11	44	0	0	0	80228	23	1089	833	0	246	26	39	0	0	3	1	14	33	6	1
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp900552645	2	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Beggiatoales;f__Beggiatoaceae;g__Thiomargarita;s__Thiomargarita_nelsonii_A	1	0	0	437	0	0	6389	1	35	38	0	0	0	0	1	42	0	1	1	2409	0	2	0	0	318	0	1	0	271	2	182	2	0	6	0	0	0	0	0	0	1	1	23	0	3	170	0	1	0	0	42	0	0	3	42	6	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__UMGS1840;f__UMGS1840;g__UMGS1840;s__UMGS1840_sp900555525	11	6	0	0	30	9	0	54	0	0	24	5	40	0	20	0	0	0	0	0	13	0	33	0	0	0	0	0	52	17	39	0	0	35	0	0	0	17	1	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	8	0	0	19	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492_sp900553225	2	2	3	0	408	0	0	0	0	1	514	1	529	0	16	0	0	1	0	0	189	0	518	0	0	0	1	0	0	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	98	6	0	0	0	0	0	1	0	1	0	0	1	0	2	1	0	1	0	0	0	0	19	1	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1532;s__UMGS1532_sp900552605	117	41	2	0	77	79	0	215	0	112	20	169	13	1	0	0	0	2	0	0	60	9	68	0	0	4	1	0	239	181	328	0	156	266	33	0	0	134	153	48	1	23	0	0	0	3	3	1	0	0	0	0	1	0	0	0	0	84	0	0	220	0	2	13	0	1	7	16	0	0	0	0	21	0	2	0	0	0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp900551665	9	2	0	0	10	2	0	0	0	0	2	19	2	0	0	0	0	2	0	0	6	0	7	0	0	0	0	0	0	27	0	0	0	0	0	0	0	24	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	0	0	36	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R_sp900547915	2	2	0	0	0	0	0	11	0	12	4	3	6	0	1	0	0	0	0	0	0	1	0	0	0	78	0	0	0	1	0	0	6	0	0	0	0	0	9	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__UBA1409_sp002338885	3	2	0	0	3	11	0	9	0	3	0	2	0	0	0	0	43	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	14	0	0	0	1	20	83	7	0	0	0	0	0	63	0	3	0	0	0	0	0	0	0	1	0	0	0	74	0	0	0	0	2	0	0	24	3	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella_sp005845265	1	2	0	0	0	2	0	0	0	10	1	100	0	0	0	0	28	0	0	0	11	0	11	0	0	0	0	241	0	0	0	88	11	0	0	0	0	0	4	0	28	0	0	0	0	0	0	0	0	12	0	0	109	0	0	0	78	76	0	0	0	42	0	0	0	0	0	35	0	0	0	0	7	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G_sp900548465	25	20	2	2	191	21	0	64	2	41	85	179	82	1	4	0	0	1	1	1	204	18	274	0	53	0	6	2	0	181	1	3	47	0	4872	0	3	74	11	513	2	5893	1	0	0	86	13	1	0	20	0	1	3	1	0	0	0	217	0	2	189	0	0	0	0	3	349	61	1	0	1	1	108	1	1	0	4	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_sp000568095	4	0	1	0	14	1	1	2	0	0	0	0	0	0	0	1	1	0	0	0	29	1	26	0	0	0	1172	0	0	0	2	0	1	0	0	2677	0	0	0	0	1	1	0	1	0	0	0	6	3	0	1	0	0	1	0	0	0	0	380	0	1	0	0	0	0	1	0	0	449	4	0	0	0	0	0	1	1	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA6398;s__UBA6398_sp900550635	12	11	0	0	0	5	0	0	0	2	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	14	0	0	0	14	19	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_soli	11	19	0	0	0	62	0	0	0	0	0	38	0	0	1	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	33	7	0	0	1	14	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	1	0	0	3	0	3	0	0	0	4	0	0	0	0	0
k__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus_sp003611585	10	12	1	0	0	28	0	46	0	11	0	21	0	0	0	0	69	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	7	0	0	1	7	6	103	0	0	0	0	0	0	93	0	11	0	0	0	0	0	0	0	17	0	0	0	91	0	1	0	1	2	0	0	24	5	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia_timonensis	8	14	0	0	17	17	0	0	0	639	1	130	0	0	0	1	8	0	0	1	216	2	126	0	1	5	3	26	0	0	0	15	440	0	0	0	0	1	38	0	9	0	0	0	0	7	1	0	0	4	0	0	11	0	0	1	8	101	1	0	0	4	1	0	2	0	0	357	0	0	0	0	0	5	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_sp900552465	21	16	1	0	4	20	0	32	0	0	29	2	45	0	1	0	0	0	0	0	3	1	4	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	25	0	19	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Atlantibacter;s__Atlantibacter_hermannii	1	1	0	0	0	2	0	4	0	25	0	217	0	0	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	2	6	4	0	0	0	0	0	0	0	28	8	2	3	6	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	8	0	26	1	0	22	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_huaxiensis	1	0	1	0	0	1	2	1	0	0	0	8	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1920	0	0	0	0	0	1	1	27	3007	0	0	1	33	2	17	0	0	0	1	1	0	19	0	7	29	0	0	0	0	0	2	440	1	0	0	0	0	0	1	4	1	766	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A_sp000431815	15	5	2	0	8	13	0	47	0	13	16	10	7	0	1	0	0	0	0	0	8	0	7	0	0	0	0	0	0	41	0	0	27	0	5	0	0	18	18	12	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	8	0	0	24	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0	0
