#OTU ID	magic.0604.PE.S33.001.fa	magic.0604.MagAE.S59.001.fa	magic.0258.MagAE.S54.001.fa	magic.1457.PPE.S17.001.fa	magic.0238.PE.S28.001.fa	magic.0604.PPE.S12.001.fa	magic.0524.PPE.S11.001.fa	magic.0348.MagAE.S55.001.fa	magic.0978.PPE.S13.001.fa	magic.1489.PPE.S18.001.fa	magic.1232.MagAE.S65.001.fa	magic.0378.PPE.S6.001.fa	magic.1232.PE.S36.001.fa	magic.1488.MagAE.S71.001.fa	magic.0298.MagAE.S51.001.fa	magic.1457.MagAE.S70.001.fa	magic.2174.PE.S45.001.fa	magic.1269.MagAE.S69.001.fa	magic.1412.MagAE.S72.001.fa	magic.0142.PPE.S4.001.fa	magic.0238.PPE.S5.001.fa	magic.0978.PE.S34.001.fa	magic.0238.MagAE.S50.001.fa	magic.0481.PPE.S8.001.fa	magic.1757.PPE.S22.001.fa	magic.0821.MagAE.S63.001.fa	magic.1757.PE.S43.001.fa	magic.0485.MagAE.S61.001.fa	magic.0990.PPE.S14.001.fa	magic.1455.PPE.S16.001.fa	magic.0990.MagAE.S68.001.fa	magic.0485.PPE.S9.001.fa	magic.1489.MagAE.S67.001.fa	magic.0990.PE.S35.001.fa	magic.1761.MagAE.S76.001.fa	magic.1947.PE.S44.001.fa	magic.1412.PPE.S20.001.fa	magic.1455.MagAE.S66.001.fa	magic.1489.PE.S39.001.fa	magic.1761.PE.S42.001.fa	magic.2174.MagAE.S74.001.fa	magic.1761.PPE.S21.001.fa	magic.1488.PPE.S19.001.fa	magic.0140.MagAE.S49.001.fa	magic.0140.PPE.S3.001.fa	magic.0142.MagAE.S53.001.fa	magic.0978.MagAE.S64.001.fa	magic.0493.MagAE.S60.001.fa	magic.0096.MagAE.S52.001.fa	magic.0481.MagAE.S57.001.fa	magic.0096.PPE.S2.001.fa	magic.0096.PE.S26.001.fa	magic.0485.PE.S31.001.fa	magic.1269.PPE.S15.001.fa	magic.0524.MagAE.S62.001.fa	magic.0487.PPE.S10.001.fa	magic.0487.PE.S32.001.fa	magic.0378.MagAE.S56.001.fa	magic.1947.PPE.S23.001.fa	magic.1412.PE.S41.001.fa	magic.1455.PE.S38.001.fa	magic.2174.PPE.S24.001.fa	magic.0487.MagAE.S58.001.fa	magic.2704.MagAE.S78.001.fa	magic.0140.PE.S27.001.fa	magic.0068.MagAE.S48.001.fa	magic.1757.MagAE.S73.001.fa	magic.0068.PE.S25.001.fa	magic.1947.MagAE.S77.001.fa	magic.0493.PPE.S7.001.fa	magic.0493.PE.S30.001.fa	magic.1488.PE.S40.001.fa	magic.0378.PE.S29.001.fa	Blank.MagAE.S75.001.fa	magic.2704.PE.S46.001.fa	BLANK.PPE.S1.001.fa	magic.1269.PE.S37.001.fa	Blank.PE.S47.001.fa
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides_merdae	41007	28053	917	11	6287	24874	14	375	24	8401	117	6130	151	21	735	22	7	121	1	1	4021	587	5409	3	24	306	82	25	669	4915	530	1	18893	636	1793	14	5	3983	19467	5440	6	2146	7	9	18	837	97	11	1	294	1	5	48	21	24	8	35	4961	16	18	7047	14	23	465	2	20	127	568	1	3	13	14	1221	82	603	15	33	5
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli	33752	46026	3186	243	226739	123574	194	396348	246	152497	137	70385	142	199	4308	223	220056	2942	152	213	537972	5308	359388	6735	1214	2224	9006	476	67	21101	200	132	89455	94	191850	3464	107	32761	83839	256261	261998	121668	129	535	222	36979	631	250475	3529	26182	3242	4987	1052	177	694	208	242	47359	785	217	11715	268071	646	2328	117	384	31712	3659	964	83769	22296	85	9573	506	1855	256	149	8
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	13259	10324	370	12	31331	9777	5	1589	25	132	1093	7999	1656	7	304	9	263	94	2	6	20076	785	27710	11	31	8	85	38	352	6217	490	11	333	397	1987	11	2	4948	338	4748	83	2274	3	37	14	4252	72	19	14	301	5	6	131	14	19	10	52	7876	3	8	7690	232	72	191	9	26	185	1218	3	6	17	6	2098	2	109	10	36	1
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_flexneri	17915	22737	749	41	4306	66300	39	21302	127	51241	93	106516	35	119	378	101	258182	3411	117	140	9880	4470	6621	303	180	629	805	93	27	32736	188	41	28812	29	17062	277	20	45866	26899	22222	326465	10610	80	67	74	1068	295	281968	697	26904	571	1019	311	79	192	98	118	69635	49	122	17980	331654	233	2135	80	131	6189	4218	66	94406	24306	22	14625	228	1489	165	89	1
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp900557085	11378	9256	263	1	829	6597	1	7414	11	321	1021	376	1563	4	150	1	1210	5	0	0	508	62	731	1	20	28	37	1	122	197	62	0	1067	102	647	7	2	189	1066	1848	201	722	5	0	5	343	35	10	1	95	0	2	15	6	4	0	4	402	0	3	279	927	5	108	5	1	41	95	0	0	11	3	77	4	51	8	2	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_plebeius	57225	9331	329	48	26662	50732	8	317	62	23087	1324	2842	3298	20	250	49	47	684	5	9	26270	358	13774	10	85	137	235	40	33872	33515	31682	4	15962	33628	118	33	21	28300	37105	228	34	216	40	30	10	1678	275	75	2	78	25	10	329	43	32	14	193	1918	25	28	39876	74	136	556	6	23	45	185	5	21	30	31	415	54	1839	37	109	11
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_massiliensis	9690	6167	714	102	269718	6688	29	6999	19	4611	5790	13546	7878	17	2194	90	15666	369	7	23	168161	1204	230002	62	82	154	244	212	8083	14737	12905	26	10407	9688	2806	43	6	7397	11279	6056	6302	2628	12	256	50	38200	265	51	36	1353	33	47	847	14	85	44	217	11908	7	93	17203	17156	429	376	48	231	439	2167	13	56	114	11	3085	36	529	52	55	9
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp003463205	2888	1860	82	1	1339	2018	2	1980	1	159	35417	1199	54420	13	37	4	49	64	2	0	808	125	1198	0	24	14	370	20	3492	2470	4294	9	330	4175	887	0	2	2112	355	2254	20	1024	1	4	10	227	668	256	0	60	2	0	53	20	7	3	13	1192	1	17	3126	77	23	85	4	3	66	257	14	30	26	12	285	1	78	4	23	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_faecis	9597	6838	207	3	1609	5734	1	63	7	149	698	5020	823	8	50	1	226	10	2	1	884	616	1541	4	29	9	277	6	4668	468	7471	4	237	5406	11481	5	5	194	374	27054	119	12727	4	4	1	309	95	5	4	243	1	5	9	10	6	7	13	4512	2	7	527	215	13	71	0	8	856	682	3	0	14	7	1079	7	26	4	15	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_finegoldii	41969	3675	126	7	3467	36794	1	1814	16	358	4935	963	8762	8	88	4	20	9	2	1	5696	109	1229	0	5	15	126	9	1601	517	3252	1	981	2089	902	21	3	343	989	2211	8	919	9	2	5	220	107	22	1	46	2	5	12	22	2	1	9	701	5	14	645	41	5	45	1	1	55	222	4	2	17	7	194	3	234	19	11	4
