#OTU ID	magic.1959.S65.001.fa	magic.2524.S90.001.fa	magic.2388.S55.001.fa	magic.2032.S88.001.fa	magic.4896.S36.001.fa	magic.2629.S56.001.fa	magic.2818.S91.001.fa	magic.2909.S57.001.fa	magic.2495.S79.001.fa	magic.1921.S29.001.fa	magic.2006.S77.001.fa	magic.4194.S83.001.fa	magic.4033.S47.001.fa	magic.3092.S81.001.fa	magic.2848.S21.001.fa	magic.3840.S11.001.fa	magic.4162.S71.001.fa	magic.2674.S80.001.fa	magic.3943.S35.001.fa	magic.3819.S82.001.fa	magic.3527.S92.001.fa	magic.3763.S70.001.fa	magic.2077.S42.001.fa	magic.2822.S9.001.fa	magic.1502.S87.001.fa	magic.2568.S20.001.fa	magic.1934.S53.001.fa	magic.5001.S48.001.fa	magic.2483.S67.001.fa	magic.1909.S17.001.fa	magic.1926.S41.001.fa	magic.1640.S5.001.fa	magic.2570.S32.001.fa	magic.2096.S54.001.fa	magic.3035.S69.001.fa	magic.2343.S43.001.fa	magic.2850.S33.001.fa	magic.2665.S68.001.fa	magic.2334.S31.001.fa	magic.2099.S66.001.fa	magic.2588.S44.001.fa	magic.3555.S10.001.fa	magic.2034.S6.001.fa	magic.2186.S78.001.fa	magic.3869.S12.001.fa	magic.2055.S30.001.fa	magic.2322.S19.001.fa	magic.3899.S23.001.fa	magic.3083.S94.001.fa	magic.2235.S24.001.fa	magic.3821.S93.001.fa	magic.2049.S18.001.fa	magic.4125.S59.001.fa	magic.3611.S34.001.fa	magic.2885.S45.001.fa	magic.1127.S76.001.fa	magic.2535.S8.001.fa	magic.2193.S89.001.fa	magic.3603.S22.001.fa	magic.2271.S7.001.fa	magic.3681.S58.001.fa	magic.5284.S72.001.fa	magic.5033.S60.001.fa	magic.3679.S46.001.fa
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp900538355	27862	15	251	682	114	1146	104	468	3028	32	28909	620	9	142	568	109	33	1056	6	17	43	2473	2648	84	157	4645	575	1980	938	11	102	68	25	3475	2710	2805	33	246	1083	422	2995	1359	109	3595	402	10185	18	7	245	540	3037	780	67	468	53	2471	207	59	375	1484	653	52	624	1433
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp900552715	52496	13	517	1006	151	6541	164	525	4890	24	48175	720	39	328	763	224	32	1585	12	49	10	3602	23230	37	272	5484	10	4355	34	10	189	22	123	7683	7091	3003	38	433	5126	583	8689	2176	304	6951	779	20439	9	21	214	955	1997	10	10	590	76	4054	342	113	476	5376	348	126	843	3846
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_paraputrificum	224034	239	16	1455421	112	5733	645	3712	364	605	603	434	18	54	535	29	36	27049	14	59	58381	1365	70	73812	245	107666	19923	21386	121	327	361	295	7111	42413	262	91401	586	190	3725	101	1765	17410	41	451	212	64799	70	43	393	17	29058	50346	3413	25	134	531	42	244	439	1612	8209	422	624	97
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae	81504	2	336	3020	598	1	107	4040	4394	19936	67229	120	541	208	3115	2988	55	147	178	856	30	15	2940	203	472	1042	13	1880	143	512	6272	150	199	28	1763	2	35	21	7	83	1100	46	552	14169	106	124	85	2784	25	140	62	2	8	22	15	5216	50	213	7	60	277	311	334	7433
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_dispar	65735	66	1531	1361	330	3900	809	721	12258	24	60947	941	38	407	3042	328	74	5167	22	48	5	6520	7624	42	381	7374	9	4309	82	22	1617	35	265	10494	14480	4406	109	750	1311	1667	16937	3150	4281	20521	1148	37562	7	29	755	2908	8547	13	3	891	96	4397	535	121	778	7799	567	172	1309	4645
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_J	10319	1	190	237	85	7	24	644	8079	4922	9263	31	220	43	431	2712	28	91	54	114	2	3	447	47	87	185	1	1549	16	130	1572	37	47	2	375	3	57	145	2	21	702	5	155	13771	45	9	179	64	8	102	8	0	2	9	1	761	41	192	2	58	131	61	348	1832
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D_parainfluenzae_A	99864	4	732	2340	1174	5	195	7767	17015	38963	84014	214	1518	486	2515	12154	178	319	481	558	35	17	5326	482	627	2060	25	8721	130	1021	13027	245	539	20	2310	14	83	54	14	145	4418	66	1427	51934	406	63	346	1020	45	409	108	8	10	50	11	6101	138	700	15	251	732	837	1557	17798
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__F0422;s__F0422_sp001553345	25787	11	392	489	2	27	8	5	23356	18	22988	5	0	3	1	0	10	8	1	3	4	9	165	4	139	25	6	24	13	95	340	22	5	10	3	11	22	7926	6	192	25	1	77	153	4	171	5393	0	3	4055	2	9	0	0	0	1658	5	34486	0	6	81	3	8	0
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_atypica	354431	78	346	6779	2455	213816	231	714	3464	162	331933	1461	103	4808	854	1063	198	5820	82	64	74	25809	1085847	199	1935	28254	96	24563	847	95	334	155	150	60967	194831	3049	326	17015	340715	9437	3857	2183	451	7896	25850	135824	48	12	3701	572	8152	141	44	1376	583	23183	11040	845	430	1619	6592	331	6894	1725
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_salivarius	37658	116	157	7696	109	1127	9	207	42189	2542	35845	97	333	29	721	1529	85	808	674	149	45	643	31591	140	310	517	27	236	552361	68	311	496	93	1020	48102	225	79	2770	88718	1810	8240	117	71	34591	9	2837	8383	119	1	145	459	731	25	56	57	5069	119	1012	8	7076	672	1304	1244	2342
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269_sp001916035	44	0	0	387	0	2	1	2	0	0	0	0	2	0	2	0	0	34	2	0	0	0	0	0	0	39	3	9	0	0	0	0	2	23	0	50	0	0	0	0	0	38	0	0	0	19	0	0	0	0	4	8	0	0	0	10	0	1	0	0	0	0	0	10
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_tobetsuensis	21537	7	75	414	267	13795	43	87	762	7	18846	116	6	335	123	373	15	447	4	5	2	2141	58515	14	110	2289	4	1759	19	2	45	15	15	4429	11019	1546	29	1172	19147	637	693	164	64	1614	1900	10365	2	1	287	152	2356	6	3	137	35	1315	683	49	208	195	510	30	604	225
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_infantium	22258	15	1221	443	209	4854	250	271	10057	15	22037	294	42	474	1558	295	43	3161	31	72	7	4013	5911	35	109	3046	18	6623	37	9	421	14	156	7274	8220	2566	86	642	2034	600	12876	959	714	8840	243	28161	4	35	136	2057	2030	26	2	296	32	1620	416	37	457	7881	636	218	1276	7685
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_sp900552445	4176	4	44	164	410	252	68	108	534	30	4842	15	11	48	90	105	216	129	4	9	33	5435	729	62	28	1157	3	165	203	17	25	3	23	412	488	828	2	49	200	16	889	48	168	2677	217	2184	4	3	136	81	330	1	0	193	1	375	55	16	155	230	33	103	1813	115
