#OTU ID	magic.1959.S65.001.fa	magic.2524.S90.001.fa	magic.2388.S55.001.fa	magic.2032.S88.001.fa	magic.4896.S36.001.fa	magic.2629.S56.001.fa	magic.2818.S91.001.fa	magic.2909.S57.001.fa	magic.2495.S79.001.fa	magic.1921.S29.001.fa	magic.2006.S77.001.fa	magic.4194.S83.001.fa	magic.4033.S47.001.fa	magic.3092.S81.001.fa	magic.2848.S21.001.fa	magic.3840.S11.001.fa	magic.4162.S71.001.fa	magic.2674.S80.001.fa	magic.3943.S35.001.fa	magic.3819.S82.001.fa	magic.3527.S92.001.fa	magic.3763.S70.001.fa	magic.2077.S42.001.fa	magic.2822.S9.001.fa	magic.1502.S87.001.fa	magic.2568.S20.001.fa	magic.1934.S53.001.fa	magic.5001.S48.001.fa	magic.2483.S67.001.fa	magic.1909.S17.001.fa	magic.1926.S41.001.fa	magic.1640.S5.001.fa	magic.2570.S32.001.fa	magic.2096.S54.001.fa	magic.3035.S69.001.fa	magic.2343.S43.001.fa	magic.2850.S33.001.fa	magic.2665.S68.001.fa	magic.2334.S31.001.fa	magic.2099.S66.001.fa	magic.2588.S44.001.fa	magic.3555.S10.001.fa	magic.2034.S6.001.fa	magic.2186.S78.001.fa	magic.3869.S12.001.fa	magic.2055.S30.001.fa	magic.2322.S19.001.fa	magic.3899.S23.001.fa	magic.3083.S94.001.fa	magic.2235.S24.001.fa	magic.3821.S93.001.fa	magic.2049.S18.001.fa	magic.4125.S59.001.fa	magic.3611.S34.001.fa	magic.2885.S45.001.fa	magic.1127.S76.001.fa	magic.2535.S8.001.fa	magic.2193.S89.001.fa	magic.3603.S22.001.fa	magic.2271.S7.001.fa	magic.3681.S58.001.fa	magic.5284.S72.001.fa	magic.5033.S60.001.fa	magic.3679.S46.001.fa
k__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella_sanguinis	194	1	0	0	3	15	1	79	13	3	81	0	6	0	2	2	1	0	3	0	18	1	37	0	1	0	0	46	444	0	0	0	0	0	23	0	0	0	45	1	1	0	0	0	1	1	0	0	48	0	8	1	2	0	0	23	12	2	1	2	0	10	140	203
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium_lactatiformans	10	67	145	67	2222	26744	1992	29	11	4	5	158	1019	1842	5	4214	20	13	1727	2179	14	67	18	15	14	190	3	7	7	3	4	70	8	234	5	14	5	13	7	13	16	35	26	19	252	99	8	1437	18	59	3	5	5	20	95	18	13	11	2257	8	2	401	4	3
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola_sp000436795	37	1	1	0	0	2	0	2	0	0	0	0	0	0	17	2	0	22	1	0	6	0	1	0	2	0	2	0	0	16	1	0	10	3	0	1	0	0	0	0	1	8	0	0	0	0	0	4	0	0	1	0	1	1	1	1	0	2	0	0	1	0	0	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia_sp000278725	6	0	0	6	0	1	0	0	0	0	34	25	7	15	4	0	1	8	0	0	0	3	0	2	8	1	0	81	3	0	0	0	0	0	7	0	0	0	2	16	0	26	1	0	1	0	0	0	0	0	534	0	2	5	0	0	0	0	1	0	7	4	29	69
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	58	15	19	15	1	4	31	0	1	1	0	0	20	53	13	41	103	6	35	47	8	0	55	60	38	8	5	0	1	273	7	313	9	3	0	0	0	1	0	0	3	5	94	1	4	0	5	38	8	4	7	6	4	69	0	1	8	14	3	38	0	6	3	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter_sp001543345	44	0	0	82	3	7	0	0	0	0	0	0	20	0	0	75	0	75	5	0	0	1	0	1	1	21	9	5	577	0	0	0	0	2	0	72	0	0	101	0	293	1	0	0	15	1	0	0	14	0	0	141	0	9	4	56	1	0	0	0	2	18	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum_sp000296385	24	0	0	0	4	1	2	14	2	0	8	4	13	3	1	9	0	0	16	16	0	0	16	1	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	7	0	1	3	0	0	0	0	0	1	0	0	0	1	0	177	183
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia_radicincitans	16	72	354	0	0	40	55	4	10	52	30	2	0	0	16	0	0	64	0	1	18	24	22	1	0	65	18	0	0	44	166	2	209	20	24	114	156	181	572	643	21	0	35	7	16	61	161	0	86	298	310	28	0	1	1	1	95	829	7	67	0	0	14	10
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Rodentibacter;s__Rodentibacter_pneumotropicus	172	0	0	3	1	0	1	0	23	32	186	0	0	1	0	1	0	1	1	0	0	0	2	2	0	0	0	4	0	0	14	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	11	2	0	0	0	0	0	0	1
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_bongori	1	5	10	0	0	17	1	0	0	31	7	0	0	0	2	0	0	7	0	0	1	26	10	11	0	7	0	0	0	8	14	0	39	6	22	17	0	2	1	6	0	0	9	2	0	2	1	0	3	33	1	9	0	1	0	0	0	86	0	2	2	0	7	7
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia_sp000437675	12	0	0	0	0	0	0	0	0	0	0	0	51	129	164	68	0	85	56	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	1	61	47	5
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_oleiciplenus	61	283	277	1	356	17	6	9	4	2	7	4	148	174	2027	223	960	1110	192	214	308	4	7	43	7	14	9	2	8	1082	360	14	1148	12	1	2	4	8	5	9	6	8	196	3	324	6	9	108	305	224	0	15	690	249	7	8	10	43	6	7	5	1431	1142	65
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81_sp000435795	20	0	3	0	5	1	0	2	2	1	2	4	4	1	0	1	1	5	3	5	0	2	3	0	4	1	6	26	5	0	5	0	1	2	2	5	3	1	1	6	6	0	0	4	10	3	0	0	0	0	0	0	2	1	16	8	0	0	0	0	1	10	2	1
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1_sp003513705	1	42	83	0	59	1	21	0	0	0	0	37	23	7	2	19	242	0	19	22	4	1	0	0	0	0	0	0	0	6	5	0	16	0	0	0	0	1	1	0	0	0	3	0	89	0	0	17	111	63	0	0	5	90	0	0	0	1	17	0	0	37	4	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Leclercia;s__Leclercia_adecarboxylata	69	10	832	411	3	13	2	10	136	405	253	34	1	70	6	12	0	242	1	53	189	78	240	561	40	500	152	14	59	13	12	75	440	219	1202	147	292	43	405	1268	107	5	664	569558	2	1007	2077	3	3	1302	63	72	20	0	22	102	375	2700	2	22052	4	8	10	24
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pneumoniae_B	172	3	5	11	0	10	0	23	109	0	24	3	1	0	7	2	1	4	0	3	62	68	78	92	9	30	91	17	1474	3	15	69	1	5	62	132	10	14	32	179	25	1	1	13	24	5	3	2	0	1	14	37	26	20	6	44	2	61	1	3	18	2	35	527
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio_sp003860215	598	0	0	0	0	1	1	2	69	1	0	0	0	0	1	0	0	44	0	0	0	1	1	0	0	0	19	1	294	1	0	2	0	0	1	1873	0	5	232	0	2	7	0	16	0	1	44	0	0	18	0	1791	0	0	0	59	0	81	0	1	0	1	4	1
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila_B	224	0	13	12	43	7	0	10	1	0	0	2	8	122	0	57	360	0	2	31	0	169022	1	1	5	0	10	1	20	1	1	3	0	6	22	0	0	26	0	19	0	47	2	0	0	3	0	3	0	0	22	0	11	322	0	14	0	0	26	0	19	198	8	21
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Rodentibacter;s__Rodentibacter_sp901420285	252	0	5	5	0	0	0	0	62	53	265	0	5	0	4	16	1	0	0	0	0	0	5	2	1	2	0	28	0	6	8	0	1	0	9	0	3	0	0	0	7	0	2	287	0	0	4	0	0	2	0	0	0	0	0	18	0	5	0	6	0	1	0	12
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Longibaculum;s__Longibaculum_muris	61	0	2	62	1	6	0	1	0	0	0	0	0	0	12	2	0	0	1	0	3	0	0	0	2	36	2	0	1	9	0	0	0	178	0	0	0	0	0	0	0	1	2	0	10	220	8	3	0	6	0	11	6	4	0	0	0	0	7	1	0	0	1	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	31	56	27	1	43	8	14	2	0	0	0	0	24	15	71	18	11	23	10	12	6	3	2	1	4	0	4	2	1	7	7	0	12	3	3	2	0	4	0	2	3	0	1	1	37	1	0	6	22	40	1	0	76	6	1	3	0	8	15	0	2	37	22	2
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_A;s__Ruminococcus_A_sp000432335	168	126	0	1	733	9	1467	13	1	0	0	49	578	201	4	320	47	1	827	520	3	8	1	0	1	3	13	86	0	3	1	4	0	0	0	255	70	0	0	0	2	30	0	0	1577	3	3	426	80	1	29	85	2	361	3	0	0	1	21653	0	1	30	0	1
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Weeksella;s__Weeksella_virosa	132	1	1	1	11	0	0	0	2	0	2	8	1	0	4	6	3	5	2	2	3	4	1	17	5	8	5	7	15	5	3	22	0	0	9	0	0	10	0	25	0	7	1	0	3	7	0	2	5	2	1	5	0	2	1	2	15	3	3	7	1	3	1	8
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp900555585	18	0	0	0	10	0	0	0	2	1	0	0	1	1	0	2	0	0	1	4	0	0	4	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter_A;s__Mediterraneibacter_A_butyricigenes	30	30	5	530	61	520	8	107	0	0	1	577	125	48	0	134	60	0	75	81	201	212	1	107	1	275	52	459	3	0	3	2	7	551	2	50	30	1	0	2	4	312	1	2	27	447	0	102	27	2	13	51	56	144	378	105	1	2	18	1	14	60	3	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium_sp000435835	29	0	0	0	0	1	0	47	0	0	0	1	147	8	0	4	0	101	29	0	0	2	0	9	2	184	61	47	492	0	0	3	3	24	0	122	3	0	251	0	1	58	0	0	0	0	0	0	0	0	1	256	0	0	0	26	0	4	0	45	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_infantis	277	1	5	12	6	23	3	15	106	1259	181	3	3	3	6	14	3	1	4	1	4	214	104	31	52	33	49	26	355	116	29	221	4	83	257	13	46	153	65	740	76	19	15	42	17	218	45	2	10	21	6	23	1	6	13	1803	167	8	0	40	10	6	79	3457
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Izhakiella;s__Izhakiella_sp002752165	138	0	0	2	0	11	0	5	0	313	77	5	0	0	0	0	0	0	0	1	0	0	64	2	2	2	1	0	0	363	3161	0	1	9	697	8	0	0	0	2	8	0	141	0	0	0	44	0	0	0	0	7	10	0	0	9	0	0	0	27	0	0	0	1
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_cloacae_I	135	24	146	16	4	1	15	4	8	21	120	0	0	2	0	0	1	15	1	0	11	6	5	73	17	127	121	1	1	1	2	19	172	24	1132	162	99	219	365	496	4	1	0	221	6	13	2360	2	28	199	67	5	3	0	2	7	1263	607	0	5	0	1	1	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UMGS1388;g__UMGS1388;s__UMGS1388_sp900551345	101	0	0	0	1	0	8	0	0	0	32	3	7	18	0	20	42	0	9	16	0	0	38	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	12	7	0	0	0	0	1	8	0	1	0	1	1	0	0	6	2	19
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia_symbiotica	11	0	0	3	0	0	0	0	0	137	44	0	0	0	0	0	0	4	0	0	1	0	22	0	0	0	21	0	0	4	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	5	2	0	0	0	3	1	0	0	0	4	0	4	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__43-108;s__43-108_sp001915545	144	7	16	9	7	21	16	22	11	9	8	10	1939	2314	5003	1801	2477	1630	1891	2676	1253	9	14	164	25	37	12	7	12	4374	927	76	3993	15	13	6	14	10	10	16	11	10	1482	16	18	16	16	970	8	8	11	15	3069	1637	4	34	27	14	11	19	7	29895	1340	137
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Basfia_A;s__Basfia_A_langaaensis	190	0	0	1	0	0	0	0	9	12	89	0	2	0	1	7	1	0	1	0	0	0	4	0	0	0	0	0	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp900556625	88	3	7	6	0	6	4	3	0	2	0	0	1314	1420	419	1061	9	162	1454	1681	3	6	8	7	5	0	1	0	9	3	4	14	1	1	15	6	3	15	2	15	8	4	5	1	1	1	1	608	3	0	1	3	70	3	2	0	4	3	0	4	2	213	251	16
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_sp000433815	209	46	0	67	11400	95	80	90	13	0	17	497	178	403	22	228	68	26	175	251	65	86	10	38	3	922	89	419	13	1	4	1	3	367	6	201	477	9	2	16	11	479	0	20	59	113	1	291	62	4	75	134	25	243	2436	12	9	0	138	0	74	623	12	2
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp003545565	98	230	204	3	419	21	5425	16	3	7	2	1	700	1753	1154	948	1745	575	594	844	77	12	15	17	6	15	11	3	9	295	54	18	190	23	9	4	5	23	6	21	5	6	76	1	391	8	9	747	317	264	6	8	312	1105	2	6	4	27	6796	6	8	1166	617	52
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pseudescherichia;s__Pseudescherichia_sp002918705	26	1	153	11	0	4	1	9	5	109	40	0	0	0	4	0	0	420	0	0	13	4	32	34	3	44	60	0	0	5	8	4	10	8	29	41	43	3	53	26	5	0	2	172	0	28	28	0	1	367	74	2	0	3	0	3	71	1790	1	34	2	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena_sp003481775	11	54	321	119	193	450	50	89	1	0	2	334	302	198	9	468	151	1	212	309	1714	2138	5	511	1	102	6376	7391	2	2	2	5	21	387	637	1550	201	1	0	9	4	520	6	2	1658	325	1	1068	1240	102	92	9837	312	369	635	275	203	8	239	2	104	1185	5	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Actinobacillus;s__Actinobacillus_ureae	104	0	0	4	0	0	0	2	7	17	65	2	0	0	1	1	1	0	0	0	0	0	5	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	3	3	0	1	3	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mitis	28	9	14	52	1	21	0	16	244	9	134	2	0	0	2	0	1	23	1	0	2	14	377	48	3	24	102	18	5093	9	41	77	0	28	71	14	16	132	17	611	3	3	3	10	15	18	24	1	1	17	21	7	1	32	6	50	51	485	3	0	11	0	44	405
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J_sulfidigenes	44	1	6	0	0	0	0	0	2156	0	0	0	0	0	0	0	0	58	0	0	0	0	130	35	0	49	8	12	388	0	0	0	0	17	0	84	0	722	108	0	230	61	0	0	0	0	0	0	0	0	27	184	0	0	0	423	0	0	1	28	0	0	0	2
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__BGMRC-2031;s__BGMRC-2031_sp005217455	21	0	0	44	0	2	0	4	0	321	157	0	0	0	0	0	0	0	0	0	0	127	79	0	0	3	43	0	0	11	0	0	13	20	51	1	0	0	0	0	25	0	0	414	0	110	0	0	1	0	0	0	0	0	0	4	0	0	0	43	0	1	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus_sp002011925	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia_stuartii	30	0	0	0	0	27	0	0	0	12	33	0	0	0	0	0	0	0	0	0	0	0	1274	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	12	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter_splanchnicus	161	5	13	0	10	10	163	11	0	0	0	3	17	18	26	19	254	35	21	11	44	1	0	8	6	3	7	0	6	146	47	7	165	4	9	0	0	7	0	9	2	4	35	0	3	0	3	27	3	8	3	2	84	190	1	4	0	4	79	1	4	1	2	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella_ornithinolytica	58	147	21	24	0	13	3	13	13	11	12	26	0	2	0	17	0	32	33	65	34	14	3	37	2	77	73655	1	0	15	34	14	384	41	7	470	666	1047	1381	569	39	3	6	4	0	40	333	27	1	48	30	10463	21	1	2	2	596	124	0	88	21	0	5	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis_A	168	35454	31121	27	37571	25	30618	186	11	33	2	52	169	95	10245	217	324393	2369	216	148	66	158	35	45	45	21	21	41	75	101	28	144	161	26	54	12	43	79	39	62	20	85	48	5	39909	38	24	101	32903	27395	77	38	18651	333371	7	2	18	4180	25877	28	78	4363	4895	409
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Superficieibacter;s__Superficieibacter_sp001187865	17	0	0	3	0	0	0	2	0	436	181	0	0	0	0	0	0	15	0	0	1	28	116	7	0	0	0	0	0	13	0	0	0	0	0	1	0	0	10	0	0	0	3	1	0	0	42	0	1	0	14	39	0	0	0	3	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_E;s__Paenibacillus_E_sp001428045	19	0	1	8	0	0	0	5	3	4	7	0	0	0	0	0	0	3	0	1	0	0	3	12	1	2	0	0	36	0	18	0	18	0	4	0	3	21	0	17	24	0	3	0	1	0	9	0	0	0	0	1	0	0	1	6	13	2	0	5	2	0	1	20
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__KLE1615;s__KLE1615_sp900066985	30	16	3	30	58	72	7	18	1	0	2	3956	98	20	6	64	34	1	72	33	36	203	0	22	26	75	3	184	26	0	0	1	0	96	30	7	40	39	0	38	2	1434	0	4	25	37	0	47	7	0	14	0	37	22	2268	23	13	0	12	3	34	89	62	54
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella_sp900551535	5	1	0	25	1	14	0	56	0	0	1	3	1	0	0	3	1	1	8	6	5	0	1	0	1	29	2	10	0	0	0	10	0	0	0	0	0	0	2	0	0	2	0	1	15	0	0	4	2	1	53	1	6	40	0	90	0	2	0	1	0	15	45	860
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mitis_AH	23	1	4	27	0	15	0	11	250	2	86	0	1	0	1	0	0	15	0	0	0	20	158	31	2	24	93	12	3163	7	40	54	4	8	61	18	15	67	26	202	3	4	3	7	6	17	11	0	1	19	31	6	1	16	3	61	24	176	2	3	17	0	22	348
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_pneumoniae_D	20	6	5	45	2	30	0	31	743	11	24	3	1	0	5	1	0	151	0	1	4	46	56	114	17	17	416	15	6786	5	9	1159	1	11	81	43	42	143	23	292	6	1	1	4	25	19	6	0	2	2	29	30	4	26	7	759	10	117	0	3	20	1	49	460
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G_sp900552275	90	5	11	698	239	108	47	122	4	10	7	441	477	385	285	896	2093	34	514	394	7359	19	12	1120	11	1708	8	1091	5	26782	9175	102	22351	3187	11	48	3	12	8	25	8	296	3366	4	60	1187	7	303	17	2	64	7	9	2028	33	803	12	9	22	2	42	341	189	32
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__Massilia_sp001425685	6	0	6	41	0	1	1	5	36	4	19	0	1	0	1	0	0	8	0	0	0	2	3	24	1	0	1	0	24	0	41	6	47	3	6	0	4	37	0	6	107	0	88	5	1	0	16	0	0	0	0	3	0	0	1	35	34	6	0	52	7	0	0	55
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA1820;g__UBA1820;s__UBA1820_sp003150615	31	1	26	0	2	34	1	12	16	2	13	6	1	11	1	4	22	24	2	8	1	17	9	5	0	0	31	6	24	0	6	10	1	25	19	8	0	47	4	35	9	2	13	12	8	1	0	0	0	0	0	0	18	4	2	18	19	2	0	19	14	17	22	3
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_massiliensis	40	1	3	2	1	1	3	2	0	0	0	0	72	65	66	47	312	75	52	61	373	2	11	43	6	4	0	0	2	1288	419	30	1157	2	3	1	1	0	0	3	2	0	128	0	6	3	5	53	0	1	0	3	4	179	2	0	3	2	2	1	0	13476	13	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182_sp003481535	59	11	21	127	74	201	28	143	0	0	0	521	247	117	1	293	67	1	281	206	66	74	0	13	2	153	192	319	1	0	0	1	0	209	0	41	5	2	1	2	0	120	0	0	37	171	0	165	9	11	11	310	31	164	470	3	1	1	16	0	11	144	3	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster_aldenensis	26	175	706	71	6786	23	19	71	16	5	9	174	2243	5366	29	5704	112	18	2054	1711	8381	8268	13	1431	7	96	7	144	17	3	9	638	11	350	4134	34	286	30	13	38	16	131	166	20	12421	277	3	441	11744	223	245	9	5	77	46	74	25	16	50	61	61	2226	42	31
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502_sp003478505	17	16	29	82	122	504	1	123	0	0	0	1860	145	29	1	132	42	2	99	137	178	169	0	73	0	132	0	398	1	0	0	0	0	178	0	5	6	0	0	0	2	53	0	0	53	131	0	78	4	4	0	0	65	17	305	2	0	1	9	0	9	18	1	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_gallolyticus	42	0	1	2	0	660	629	6	35	5	17	5	3	11	1	45	2	9	1	9	1	1	21	5	14	4	0	1369	341	14	2	864	1	5	2101	1	0	8	42	176	5748	3	0	103	19	0	1	0	48	0	589	0	13	0	0	52482	3	0	383	55	199	0	1	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__51-20;s__51-20_sp001917175	106	0	0	6	23	0	0	42	14	104	184	1	1	1	6	3	0	0	0	0	0	0	17	0	0	9	0	0	0	0	61	0	1	0	0	0	0	0	0	0	1	1	9	41	0	0	0	1	0	0	0	0	0	1	0	14	0	1	0	0	3	40	0	93
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_arizonae	26	1	7	6	0	11	3	1	13	33	5	0	0	0	32	0	1	1	0	3	6	2	6	19	0	2	12	0	0	64	484	0	45	12	6	321	130	233	75	17	3	0	32	28	0	10	210	0	9	8	48	14	48	0	3	0	0	6	1	8	11	0	22	16
