"Sample_ID"	"Sequencing_Project"	"Filename"	"Extraction"	"Total_Counts"	"Remove"
"magic.0990"	"Knights_Project_069"	"magic.0990.PE.S35.001.fa"	"PowerSoil"	1905185	0
"magic.1232"	"Knights_Project_069"	"magic.1232.MagAE.S65.001.fa"	"MagAttract"	1404417	1
"magic.1232"	"Knights_Project_069"	"magic.1232.PE.S36.001.fa"	"PowerSoil"	1879669	0
"magic.1269"	"Knights_Project_069"	"magic.1269.MagAE.S69.001.fa"	"MagAttract"	278221	1
"magic.1269"	"Knights_Project_069"	"magic.1269.PPE.S15.001.fa"	"PowerSoilPro"	114852	1
"magic.1269"	"Knights_Project_069"	"magic.1269.PE.S37.001.fa"	"PowerSoil"	9940	0
"magic.1412"	"Knights_Project_069"	"magic.1412.MagAE.S72.001.fa"	"MagAttract"	1638771	1
"magic.1412"	"Knights_Project_069"	"magic.1412.PPE.S20.001.fa"	"PowerSoilPro"	1955386	1
"magic.1412"	"Knights_Project_069"	"magic.1412.PE.S41.001.fa"	"PowerSoil"	1520649	0
"magic.1455"	"Knights_Project_069"	"magic.1455.PPE.S16.001.fa"	"PowerSoilPro"	1544377	1
"magic.1455"	"Knights_Project_069"	"magic.1455.MagAE.S66.001.fa"	"MagAttract"	1260431	1
"magic.1455"	"Knights_Project_069"	"magic.1455.PE.S38.001.fa"	"PowerSoil"	1693870	0
"magic.1457"	"Knights_Project_069"	"magic.1457.PPE.S17.001.fa"	"PowerSoilPro"	1953911	1
"magic.1457"	"Knights_Project_069"	"magic.1457.MagAE.S70.001.fa"	"MagAttract"	1536865	0
"magic.1488"	"Knights_Project_069"	"magic.1488.MagAE.S71.001.fa"	"MagAttract"	132701	1
"magic.1488"	"Knights_Project_069"	"magic.1488.PPE.S19.001.fa"	"PowerSoilPro"	419566	1
"magic.1488"	"Knights_Project_069"	"magic.1488.PE.S40.001.fa"	"PowerSoil"	4708	0
"magic.1489"	"Knights_Project_069"	"magic.1489.PPE.S18.001.fa"	"PowerSoilPro"	1420076	1
"magic.1489"	"Knights_Project_069"	"magic.1489.MagAE.S67.001.fa"	"MagAttract"	1887500	1
"magic.1489"	"Knights_Project_069"	"magic.1489.PE.S39.001.fa"	"PowerSoil"	1605773	0
"magic.1757"	"Knights_Project_069"	"magic.1757.PPE.S22.001.fa"	"PowerSoilPro"	705237	1
"magic.1757"	"Knights_Project_069"	"magic.1757.PE.S43.001.fa"	"PowerSoil"	1844723	0
"magic.1757"	"Knights_Project_069"	"magic.1757.MagAE.S73.001.fa"	"MagAttract"	216910	1
"magic.1761"	"Knights_Project_069"	"magic.1761.MagAE.S76.001.fa"	"MagAttract"	1332308	1
"magic.1761"	"Knights_Project_069"	"magic.1761.PE.S42.001.fa"	"PowerSoil"	1399114	0
"magic.1761"	"Knights_Project_069"	"magic.1761.PPE.S21.001.fa"	"PowerSoilPro"	1047154	1
"magic.1947"	"Knights_Project_069"	"magic.1947.PE.S44.001.fa"	"PowerSoil"	1901371	0
"magic.1947"	"Knights_Project_069"	"magic.1947.PPE.S23.001.fa"	"PowerSoilPro"	1995520	1
"magic.1947"	"Knights_Project_069"	"magic.1947.MagAE.S77.001.fa"	"MagAttract"	1202127	1
"magic.2174"	"Knights_Project_069"	"magic.2174.PE.S45.001.fa"	"PowerSoil"	1908855	0
"magic.2174"	"Knights_Project_069"	"magic.2174.MagAE.S74.001.fa"	"MagAttract"	1299878	1
"magic.2174"	"Knights_Project_069"	"magic.2174.PPE.S24.001.fa"	"PowerSoilPro"	2001333	1
"magic.2278"	"Knights_Project_077_Pool1"	"magic.2278.S88.001.fa"	"PowerSoilPro"	1253856	0
"magic.2278"	"Knights_Project_077_Pool3"	"magic.2278.PS.S301.001.fa"	"PowerSoil"	1315014	1
"magic.2299"	"Knights_Project_077_Pool1"	"magic.2299.S7.001.fa"	"PowerSoilPro"	1244944	0
"magic.2299"	"Knights_Project_077_Pool3"	"magic.2299.PS.S302.001.fa"	"PowerSoil"	1431518	1
"magic.2303"	"Knights_Project_077_Pool1"	"magic.2303.S19.001.fa"	"PowerSoilPro"	1376158	0
"magic.2303"	"Knights_Project_077_Pool3"	"magic.2303.PS.S303.001.fa"	"PowerSoil"	1093876	1
"magic.2310"	"Knights_Project_077_Pool1"	"magic.2310.S31.001.fa"	"PowerSoilPro"	977506	0
"magic.2310"	"Knights_Project_077_Pool3"	"magic.2310.PS.S304.001.fa"	"PowerSoil"	942662	1
"magic.2313"	"Knights_Project_077_Pool1"	"magic.2313.S43.001.fa"	"PowerSoilPro"	1518898	0
"magic.2313"	"Knights_Project_077_Pool3"	"magic.2313.PS.S305.001.fa"	"PowerSoil"	958007	1
"magic.2362"	"Knights_Project_077_Pool1"	"magic.2362.S54.001.fa"	"PowerSoilPro"	2017565	0
"magic.2362"	"Knights_Project_077_Pool3"	"magic.2362.PS.S306.001.fa"	"PowerSoil"	1126262	1
"magic.2390"	"Knights_Project_077_Pool1"	"magic.2390.S66.001.fa"	"PowerSoilPro"	1840177	0
"magic.2390"	"Knights_Project_077_Pool3"	"magic.2390.PS.S307.001.fa"	"PowerSoil"	1188354	1
"magic.2412"	"Knights_Project_077_Pool1"	"magic.2412.S77.001.fa"	"PowerSoilPro"	1025452	0
